id,created_at,favorite_count,retweet_count,sentiment
480095585177837568,2014-06-20 21:11:21+00:00,136,208,0.13636363636363635
480029500915200000,2014-06-20 16:48:46+00:00,127,134,0.35
480018858775179264,2014-06-20 16:06:28+00:00,177,201,0.0
479985143591866368,2014-06-20 13:52:30+00:00,197,213,0.0
479817276837724160,2014-06-20 02:45:28+00:00,220,249,0.13636363636363635
477906850063859712,2014-06-14 20:14:06+00:00,144,135,0.0
477576346844282880,2014-06-13 22:20:48+00:00,324,336,0.0
476717672818679808,2014-06-11 13:28:44+00:00,96,85,0.0
476388699492458497,2014-06-10 15:41:31+00:00,173,227,0.0
474947802909265921,2014-06-06 16:15:54+00:00,132,143,0.5
474260749569634306,2014-06-04 18:45:48+00:00,277,195,0.25
473614670004105216,2014-06-02 23:58:31+00:00,182,155,0.0
472510931537121280,2014-05-30 22:52:39+00:00,500,453,0.0
472432851053322240,2014-05-30 17:42:23+00:00,244,278,0.05
472216109702074369,2014-05-30 03:21:08+00:00,751,860,0.0
472208747368960000,2014-05-30 02:51:53+00:00,671,727,0.0
472203172564324352,2014-05-30 02:29:44+00:00,1652,2146,0.0
472180963259084800,2014-05-30 01:01:29+00:00,261,246,0.13636363636363635
472103888137375745,2014-05-29 19:55:12+00:00,190,280,0.13636363636363635
472067050668425217,2014-05-29 17:28:50+00:00,287,391,0.0
471842606398181376,2014-05-29 02:36:58+00:00,133,108,0.0
470727376972681217,2014-05-26 00:45:27+00:00,188,170,0.0
469917064451215360,2014-05-23 19:05:33+00:00,50,59,0.0
469537053999263744,2014-05-22 17:55:31+00:00,233,168,0.0
468130559399440384,2014-05-18 20:46:37+00:00,1191,1128,0.0
468105404098945024,2014-05-18 19:06:39+00:00,778,708,0.8125
468104273067126785,2014-05-18 19:02:10+00:00,157,89,0.20833333333333331
468103499050274816,2014-05-18 18:59:05+00:00,114,88,0.0
468100915065393152,2014-05-18 18:48:49+00:00,279,283,0.1
468092331879448576,2014-05-18 18:14:43+00:00,257,239,0.0
468023958864801793,2014-05-18 13:43:01+00:00,108,100,0.025
468021827692810240,2014-05-18 13:34:33+00:00,210,165,0.1
467810107187679232,2014-05-17 23:33:15+00:00,513,500,0.11818181818181818
467708106101641216,2014-05-17 16:47:56+00:00,289,205,0.0
467356896265912321,2014-05-16 17:32:21+00:00,214,206,0.3
465921541897588736,2014-05-12 18:28:46+00:00,118,89,0.0
464152708438441985,2014-05-07 21:20:03+00:00,395,375,0.06818181818181818
463739942909140992,2014-05-06 17:59:52+00:00,138,118,0.13636363636363635
462309849041084417,2014-05-02 19:17:11+00:00,335,503,0.5
461642473299656707,2014-04-30 23:05:17+00:00,85,79,0.75
461588394242736128,2014-04-30 19:30:23+00:00,124,171,0.18974358974358974
459739494649196544,2014-04-25 17:03:31+00:00,86,97,0.13636363636363635
